iter	Passed	Remaining
0	1	105
1	1	96
2	2	93
3	3	87
4	4	86
5	5	86
6	6	86
7	7	85
8	8	84
9	9	82
10	10	81
11	11	80
12	11	79
13	12	79
14	13	78
15	14	77
16	15	77
17	16	76
18	17	75
19	18	75
20	19	74
21	20	73
22	21	72
23	22	72
24	23	71
25	24	69
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	53
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	45
53	51	44
54	52	42
55	53	41
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
